Title,Year,Genre,Director,Actors,imdbRating,imdbID,Runtime,Poster,totalSeasons,Country,rating,status,myComment,remember
Deliver Us from Evil,2020,"Action, Crime, Thriller",Won-Chan Hong,"Hwang Jung-min, Lee Jung-jae, Jeong Min Park",6.8,tt12763920,108 min,https://m.media-amazon.com/images/M/MV5BMjczMWRhMWMtNDUzMC00MjY0LWJjMTMtMmYwYjY5Mzc5MTRmXkEyXkFqcGdeQXVyMjY3NDMzMzU@._V1_SX300.jpg,undefined,South Korea,6.5,undefined,,true
Dr. Cheon and Lost Talisman,2023,"Crime, Fantasy, Horror",Kim Seong-sik,"Gang Dong-won, Huh Joon-ho, Esom",5.8,tt29005755,98 min,https://m.media-amazon.com/images/M/MV5BN2RlOTUwNzMtMjVmZS00ZGFkLTkxOTktZmM5MjZlYmFjZjQ0XkEyXkFqcGdeQXVyNjI4NDY5ODM@._V1_SX300.jpg,undefined,South Korea,6.5,undefined,,true
Exhuma,2024,"Horror, Mystery, Thriller",Jang Jae-hyun,"Kim Go-eun, Lee Do-hyun, Choi Min-sik",6.9,tt27802490,134 min,https://m.media-amazon.com/images/M/MV5BMzczMmQ0NTItM2JkZi00MTRhLTg5OGMtZWEyZTE2ZDgwM2FjXkEyXkFqcGdeQXVyMTU1MDczNjU1._V1_SX300.jpg,undefined,South Korea,6,undefined,,true
Fabricated City,2017,"Action, Crime, Thriller",Kwang-Hyun Park,"Ji Chang-wook, Shim Eun-kyung, Ahn Jae-hong",6.8,tt6399158,126 min,https://m.media-amazon.com/images/M/MV5BOTFhZjdlZTMtNDBjMC00MDdlLThkNmItMTM2ZjM3NDNjNGM5XkEyXkFqcGdeQXVyMTA4NjE0NjEy._V1_SX300.jpg,undefined,South Korea,8,undefined,,true
Flu,2013,"Action, Crime, Drama",Kim Sung-su,"Jang Hyuk, Soo Ae, Min-ah Park",6.6,tt2351310,122 min,https://m.media-amazon.com/images/M/MV5BMTQ4NzI2OTg5NV5BMl5BanBnXkFtZTgwNjQ3MDgyMjE@._V1_SX300.jpg,undefined,South Korea,6.5,undefined,,true
Gentleman,2022,"Action, Crime",Kim Kyung Won,"Park Sung-woong, Choi Sung-eun, Lee Dal",5.7,tt24670346,123 min,https://m.media-amazon.com/images/M/MV5BNjhmNWZlNzctZTJhMy00MzcxLWFkOTQtYTQxNTVlMTc2M2MzXkEyXkFqcGdeQXVyMDM1MzY1Mg@@._V1_SX300.jpg,undefined,South Korea,7,undefined,,false
Hard Hit,2021,"Action, Crime, Drama",Changju Kim,"Ji Chang-wook, Haerry Kim, Ji-ho Kim",6.2,tt14980972,94 min,https://m.media-amazon.com/images/M/MV5BYzNjMjc2YjEtODY3Zi00ZjliLTliMWQtOGNjYTRhZDQyYWU3XkEyXkFqcGdeQXVyNTA2Mjk2MTk@._V1_SX300.jpg,undefined,South Korea,7.5,undefined,,true
Midnight,2021,"Crime, Thriller",Oh-Seung Kwon,"Wi Ha-joon, Park Hoon, Jin Ki-joo",6.4,tt14757872,103 min,https://m.media-amazon.com/images/M/MV5BNGNlMDZjYmMtNjhiYy00ZGViLWFhODItY2FkMDk3NGVhYzJlXkEyXkFqcGdeQXVyMTM1MTE1NDMx._V1_SX300.jpg,undefined,South Korea,6,undefined,,true
Mission Cross,2024,"Action, Comedy, Crime",Lee Myung Hoon,"Hwang Jung-min, Kim Joo-hun, Yum Jung-ah",N/A,tt30515931,100 min,https://m.media-amazon.com/images/M/MV5BYmJmZTMwNTUtY2MxNy00YjQzLTk1YWYtZTE5ZmE0Y2ViODk4XkEyXkFqcGc@._V1_SX300.jpg,undefined,South Korea,5.5,undefined,,true
Parasite,2019,"Drama, Thriller",Bong Joon Ho,"Song Kang-ho, Lee Sun-kyun, Cho Yeo-jeong",8.5,tt6751668,132 min,https://m.media-amazon.com/images/M/MV5BYWZjMjk3ZTItODQ2ZC00NTY5LWE0ZDYtZTI3MjcwN2Q5NTVkXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_SX300.jpg,undefined,South Korea,10,undefined,,false
Sinkhole,2021,"Action, Comedy, Drama",Ji-hoon Kim,"Cha Seung-won, Kim Seong-gyoon, Lee Kwang-soo",6.2,tt12664618,117 min,https://m.media-amazon.com/images/M/MV5BMTBjNDRmNTktYWY1Ny00ODE4LTk5MjEtNGQ4OWFmZDZlZTVlXkEyXkFqcGdeQXVyMTEwODEzNTU@._V1_SX300.jpg,undefined,South Korea,6.5,undefined,,true
Sleep,2023,"Comedy, Horror, Mystery",Jason Yu,"Kim Gook Hee, Yoon Kyung-ho, Lee Sun-kyun",6.6,tt8209702,95 min,https://m.media-amazon.com/images/M/MV5BMjRmNWNiZjktZjI3Ny00OTg4LThhNjQtMzEzMTMzYzdiYzVhXkEyXkFqcGdeQXVyODc5Mjc4Nzg@._V1_SX300.jpg,undefined,South Korea,6.5,undefined,,true
Smugglers,2023,"Action, Crime",Ryu Seung-wan,"Kim Hye-su, Lee Do-Goon, Zo In-sung",6.3,tt28106766,129 min,https://m.media-amazon.com/images/M/MV5BZTc4ZWExZGEtYmM5YS00YjU1LThlZjUtYjQzYTVhNmYwZWNiXkEyXkFqcGdeQXVyMTM1MTE1NDM1._V1_SX300.jpg,undefined,South Korea,7,undefined,,true
Special Delivery,2022,"Action, Crime, Thriller",Dae-min Park,"Park So-dam, Park Dae-Won, Heo Dong-won",6.4,tt16529222,109 min,https://m.media-amazon.com/images/M/MV5BZDg2NGUyODgtM2E3Yi00NmJiLWEzM2ItMjFlODNhZTk2NWM3XkEyXkFqcGdeQXVyMTQ3MjI2NDI2._V1_SX300.jpg,undefined,South Korea,6,undefined,,true
Target,2023,"Crime, Mystery, Thriller",Park Hee-kon,"Shin Hye-sun, Im Chul-soo, Keum Sae-rok",6.5,tt22507484,101 min,https://m.media-amazon.com/images/M/MV5BMjBlYWU5MTQtZTI1My00YThhLTkzYWQtZGI1MmFkMGQzMzA3XkEyXkFqcGdeQXVyODU2NTg4OTc@._V1_SX300.jpg,undefined,South Korea,6.5,undefined,,true
The Childe,2023,"Action, Drama, Thriller",Park Hoon-jung,"Kim Seon-ho, Kang Tae-Ju, Kim Kang-woo",6.9,tt27534328,118 min,https://m.media-amazon.com/images/M/MV5BN2EyYmZlMGMtZmFkOC00ODA1LTk0NjItYjFkZWYxNTRlYzdkXkEyXkFqcGdeQXVyMTA3MDk2NDg2._V1_SX300.jpg,undefined,South Korea,7,undefined,,true
The Devils Deal,2023,"Crime, Drama, Thriller",Won-Tae Lee,"Cho Jin-woong, Kim Mu-yeol, Lee Sung-min",6.2,tt15089904,116 min,https://m.media-amazon.com/images/M/MV5BYzNmMmNlNjYtMTY5YS00ZmY2LWFmZjAtNWE4NWRmYzcwNmEyXkEyXkFqcGdeQXVyNjI4NDY5ODM@._V1_SX300.jpg,undefined,South Korea,7.5,undefined,,true
The Gangster the Cop the Devil,2019,"Action, Crime, Thriller",Won-Tae Lee,"Ma Dong-seok, Kim Mu-yeol, Jeon Bae-soo",6.9,tt10208198,109 min,https://m.media-amazon.com/images/M/MV5BYTdjNDZmNjgtZTI2Mi00OWJkLWI3ODItNzA5YjQ4MTczMTdjXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,undefined,South Korea,7.5,undefined,,true
The Moon,2023,"Action, Adventure, Drama",Yong-hwa Kim,"Sol Kyung-gu, Do Kyung-soo, Kim Hee-ae",5.9,tt27688034,129 min,https://m.media-amazon.com/images/M/MV5BNzU4M2YzMzktNmJkZC00YzRmLWFkNWItZGM0YTc2NTBkNTAwXkEyXkFqcGdeQXVyMTU1MDczNjU1._V1_SX300.jpg,undefined,South Korea,6.5,undefined,,true
The Point Men,2023,"Action, Drama, Thriller",Soon-rye Yim,"Hyun Bin, Hwang Jung-min, Kang Ki-young",6,tt21111120,108 min,https://m.media-amazon.com/images/M/MV5BZTg3NGY3MDYtM2Y3OS00MjQ3LWJjYzgtMGJiZDgwYWJlZGU1XkEyXkFqcGdeQXVyNjI4NDY5ODM@._V1_SX300.jpg,undefined,South Korea,6,undefined,,true
The Witch Part 1 - The Subversion,2018,"Action, Mystery, Sci-Fi",Park Hoon-jung,"Kim Da-mi, Jo Min-soo, Choi Woo-sik",7.1,tt8574252,125 min,https://m.media-amazon.com/images/M/MV5BODc0MjJhMDYtZjYwNy00NTc2LWJjYzYtMTQ2ODY3YjEyZTZjXkEyXkFqcGdeQXVyNDcyMjQ4MzU@._V1_SX300.jpg,undefined,South Korea,6.5,undefined,,true
The Witch Part 2 - The Other One,2022,"Action, Mystery, Thriller",Park Hoon-jung,"Cynthia, Jo Min-soo, Kim Da-mi",6.3,tt13721828,137 min,https://m.media-amazon.com/images/M/MV5BNWNiZDc3NWUtNmQ5ZS00MTI0LWFjNGQtZGUwZDlmZmU0N2QyXkEyXkFqcGdeQXVyNTIxNTMxMjE@._V1_SX300.jpg,undefined,South Korea,4,undefined,,true
Train to Busan,2016,"Action, Horror, Thriller",Yeon Sang-ho,"Gong Yoo, Jung Yu-mi, Ma Dong-seok",7.6,tt5700672,118 min,https://m.media-amazon.com/images/M/MV5BMTkwOTQ4OTg0OV5BMl5BanBnXkFtZTgwMzQyOTM0OTE@._V1_SX300.jpg,undefined,South Korea,6.5,undefined,,true
Unlocked,2023,"Crime, Drama, Mystery",Kim Tae-joon,"Chun Woo-hee, Im Si-wan, Kim Hee-won",6.4,tt26160190,117 min,https://m.media-amazon.com/images/M/MV5BZDNhMTQyYzktY2NlZS00YzI0LTg3NTQtNjJhMDhmYWFmZTMyXkEyXkFqcGdeQXVyNjI4NDY5ODM@._V1_SX300.jpg,undefined,South Korea,6.5,undefined,,false
The Courier,2024,"Crime, Drama, Thriller",Daniel Calparsoro,"Arón Piper, María Pedraza, Luis Tosar",6,tt27050277,101 min,https://m.media-amazon.com/images/M/MV5BMWQzNDNjMjYtNzMyNi00OTUwLTgxOTEtZjMxMmNmODhiZTk1XkEyXkFqcGdeQXVyNjc5NjEzNA@@._V1_SX300.jpg,undefined,"Spain, Belgium, France",2,undefined,,true
Verano en rojo,2023,Thriller,Belén Macías,"Marta Nieto, Jose Coronado, Luis Callejo",5.2,tt21379326,100 min,https://m.media-amazon.com/images/M/MV5BOWQxOGMzMWEtNjhmZC00MDQ3LWJmZDEtMmQ2NmIzNTg1MzljXkEyXkFqcGdeQXVyMTkyOTE2Mjk@._V1_SX300.jpg,undefined,Spain,5,undefined,,true
1408,2007,"Fantasy, Horror, Mystery",Mikael Håfström,"John Cusack, Samuel L. Jackson, Mary McCormack",6.8,tt0450385,104 min,https://m.media-amazon.com/images/M/MV5BMjQ2ODkxMjc4OV5BMl5BanBnXkFtZTgwMTgzNzQyMTI@._V1_SX300.jpg,undefined,United States,-1,undefined,undefined,undefined
A Monster Calls,2016,"Adventure, Drama, Family",J.A. Bayona,"Lewis MacDougall, Sigourney Weaver, Felicity Jones",7.4,tt3416532,108 min,https://m.media-amazon.com/images/M/MV5BMTg1OTA5OTkyNV5BMl5BanBnXkFtZTgwODMwNDU5OTE@._V1_SX300.jpg,undefined,"United States, Spain, United Kingdom",-1,undefined,,false
Annihilation,2018,"Adventure, Drama, Horror",Alex Garland,"Natalie Portman, Jennifer Jason Leigh, Tessa Thompson",6.8,tt2798920,115 min,https://m.media-amazon.com/images/M/MV5BMTk2Mjc2NzYxNl5BMl5BanBnXkFtZTgwMTA2OTA1NDM@._V1_SX300.jpg,undefined,"United States, United Kingdom",-1,undefined,,false
Get Out,2017,"Horror, Mystery, Thriller",Jordan Peele,"Daniel Kaluuya, Allison Williams, Bradley Whitford",7.8,tt5052448,104 min,https://m.media-amazon.com/images/M/MV5BMjUxMDQwNjcyNl5BMl5BanBnXkFtZTgwNzcwMzc0MTI@._V1_SX300.jpg,undefined,"United States, Japan",6.5,undefined,,true
Godzilla x Kong The New Empire,2024,"Action, Adventure, Fantasy",Adam Wingard,"Rebecca Hall, Brian Tyree Henry, Dan Stevens",6.1,tt14539740,115 min,https://m.media-amazon.com/images/M/MV5BY2QwOGE2NGQtMWQwNi00M2IzLThlNWItYWMzNGQ5YWNiZDA4XkEyXkFqcGdeQXVyNTE1NjY5Mg@@._V1_SX300.jpg,undefined,"United States, Australia",6.5,undefined,,true
In Bruges,2008,"Comedy, Crime, Drama",Martin McDonagh,"Colin Farrell, Brendan Gleeson, Ciarán Hinds",7.9,tt0780536,107 min,https://m.media-amazon.com/images/M/MV5BMTUwOGFiM2QtOWMxYS00MjU2LThmZDMtZDM2MWMzNzllNjdhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,undefined,"United Kingdom, United States",3,undefined,,true
Paranormal Activity,2007,"Horror, Mystery",Oren Peli,"Katie Featherston, Micah Sloat, Mark Fredrichs",6.3,tt1179904,86 min,https://m.media-amazon.com/images/M/MV5BMjY1NjcxODQ4MV5BMl5BanBnXkFtZTcwMzUxNjM4Mg@@._V1_SX300.jpg,undefined,United States,-1,undefined,,undefined
Passengers,2016,"Drama, Romance, Sci-Fi",Morten Tyldum,"Jennifer Lawrence, Chris Pratt, Michael Sheen",7,tt1355644,116 min,https://m.media-amazon.com/images/M/MV5BZjk4ZTMwMTYtOTk1NC00OTA0LWFhMGYtZTBjMzViMDY2YWZjXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,undefined,"United States, Australia",-1,undefined,,false
Sleeping Dogs,2024,"Crime, Mystery, Thriller",Adam Cooper,"Russell Crowe, Karen Gillan, Marton Csokas",6,tt8542964,110 min,https://m.media-amazon.com/images/M/MV5BNTg4NTY3ZmMtZGZhMC00NWYxLThjYmEtZGJhYjE1N2Y2YmZkXkEyXkFqcGdeQXVyNjE2MzI5ODM@._V1_SX300.jpg,undefined,"Australia, United States",7,undefined,,true
Split,2016,"Horror, Thriller",M. Night Shyamalan,"James McAvoy, Anya Taylor-Joy, Haley Lu Richardson",7.3,tt4972582,117 min,https://m.media-amazon.com/images/M/MV5BZTJiNGM2NjItNDRiYy00ZjY0LTgwNTItZDBmZGRlODQ4YThkL2ltYWdlXkEyXkFqcGdeQXVyMjY5ODI4NDk@._V1_SX300.jpg,undefined,"United States, Japan",-1,undefined,,false
The Autopsy of Jane Doe,2016,"Horror, Mystery, Thriller",André Øvredal,"Brian Cox, Emile Hirsch, Ophelia Lovibond",6.8,tt3289956,86 min,https://m.media-amazon.com/images/M/MV5BMjA2MTEzMzkzM15BMl5BanBnXkFtZTgwMjM2MTM5MDI@._V1_SX300.jpg,undefined,United Kingdom,-1,undefined,undefined,undefined
The Beekeeper,2024,"Action, Thriller",David Ayer,"Jason Statham, Emmy Raver-Lampman, Bobby Naderi",6.4,tt15314262,105 min,https://m.media-amazon.com/images/M/MV5BZjQwYjU3OTYtMWVhMi00N2Y2LWEzMDgtMzViN2U4NWI1NmI3XkEyXkFqcGdeQXVyODk2NDQ3MTA@._V1_SX300.jpg,undefined,"United States, United Kingdom",6,undefined,,true
The Black Phone,2021,"Horror, Mystery, Thriller",Scott Derrickson,"Mason Thames, Madeleine McGraw, Ethan Hawke",6.9,tt7144666,103 min,https://m.media-amazon.com/images/M/MV5BMWQxOGJlNTUtYTc1YS00NDkyLWExZjItMTFiYWEzMjAzYTdjXkEyXkFqcGdeQXVyNjk1Njg5NTA@._V1_SX300.jpg,undefined,United States,-1,undefined,,false
The Bélier Family,2014,"Comedy, Drama, Music",Éric Lartigau,"Karin Viard, François Damiens, Eric Elmosnino",7.3,tt3547740,106 min,https://m.media-amazon.com/images/M/MV5BYzBlNzNhODQtNTUyOC00NDVjLWE1ZTMtMTVmYTQyOTFlYjBhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,undefined,"France, Belgium",3,undefined,,false
The Descent,2005,"Adventure, Horror, Thriller",Neil Marshall,"Shauna Macdonald, Natalie Mendoza, Alex Reid",7.2,tt0435625,99 min,https://m.media-amazon.com/images/M/MV5BMjA5NzQ1NTgwNV5BMl5BanBnXkFtZTcwNjUxMzUzMw@@._V1_SX300.jpg,undefined,United Kingdom,-1,undefined,undefined,undefined
The Menu,2022,"Comedy, Horror, Thriller",Mark Mylod,"Ralph Fiennes, Anya Taylor-Joy, Nicholas Hoult",7.2,tt9764362,107 min,https://m.media-amazon.com/images/M/MV5BMzdjNjI5MmYtODhiNS00NTcyLWEzZmUtYzVmODM5YzExNDE3XkEyXkFqcGdeQXVyMTAyMjQ3NzQ1._V1_SX300.jpg,undefined,United States,6.5,undefined,,true
1899,2022,"Drama, Horror, Mystery",N/A,"Emily Beecham, Aneurin Barnard, Andreas Pietschmann",7.3,tt9319668,56S min,https://m.media-amazon.com/images/M/MV5BMTU1N2I5OTgtNDE2MS00ZTdmLWJlODktNDMwMGVmNzY5NmUxXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_SX300.jpg,1,"Germany, United States",7,done,,true
3 Body Problem,2024–,"Adventure, Drama, Fantasy",N/A,"Jovan Adepo, Liam Cunningham, Eiza González",7.5,tt13016388,N/A,https://m.media-amazon.com/images/M/MV5BMjNiMDI5YjItNmU0Yy00NmYxLThjYmUtZDc5ODY2ZDI2NzkyXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,1,"United Kingdom, United States, China",7,in-progress,,true
30 Coins,2020–,"Drama, Fantasy, Horror",N/A,"Eduard Fernández, Megan Montaner, Miguel Ángel Silvestre",7.1,tt9764386,2 min,https://m.media-amazon.com/images/M/MV5BYzA4NzcwZTctNmVhOC00NWJjLWI1OWQtOTY0OTZmMGFlODY1XkEyXkFqcGdeQXVyODc0OTEyNDU@._V1_SX300.jpg,2,Spain,6.5,undecided,,false
Alice in Borderland,2020–,"Action, Drama, Mystery",N/A,"Kento Yamazaki, Tao Tsuchiya, Nijirô Murakami",7.7,tt10795658,50 min,https://m.media-amazon.com/images/M/MV5BODI0OGIxM2MtZTQ0YS00ZjhhLWE3YzYtYzE2N2JkNThmY2RkXkEyXkFqcGdeQXVyODkzMzE0Nzc@._V1_SX300.jpg,2,Japan,10,in-progress,,true
All of Us Are Dead,2022–,"Action, Drama, Fantasy",N/A,"Park Ji-hu, Yoon Chan-young, Cho Yi-hyun",7.5,tt14169960,N/A,https://m.media-amazon.com/images/M/MV5BOTY1ZGM2YzQtMTBjZC00NjE2LWJlNzUtYjA0YjYxNzBjMmRjXkEyXkFqcGdeQXVyMTEzMTI1Mjk3._V1_SX300.jpg,2,South Korea,7.5,in-progress,,true
Archiwista,2020–,"Crime, Drama",N/A,"Henryk Talar, Rafal Mohr, Miroslaw Zbrojewicz",5.8,tt11368962,43 min,https://m.media-amazon.com/images/M/MV5BY2M4NzU1YTUtYzRlNS00MjAxLWFmZDMtMTM1NDRjZDkxOWNiXkEyXkFqcGdeQXVyMTEwMTY3NDI@._V1_SX300.jpg,2,Poland,7,undecided,,false
Better Call Saul,2015–2022,"Crime, Drama",N/A,"Bob Odenkirk, Rhea Seehorn, Jonathan Banks",9,tt3032476,46 min,https://m.media-amazon.com/images/M/MV5BZDA4YmE0OTYtMmRmNS00Mzk2LTlhM2MtNjk4NzBjZGE1MmIyXkEyXkFqcGdeQXVyMTMzNDExODE5._V1_SX300.jpg,6,United States,-1,done,false,false
Black Bird,2022,"Biography, Crime, Drama",N/A,"Taron Egerton, Paul Walter Hauser, Greg Kinnear",8.1,tt4301160,N/A,https://m.media-amazon.com/images/M/MV5BZjI3NjcyN2UtMGNhZC00YTYxLWJmOTQtNWI1ZGJmNjA4ZjY5XkEyXkFqcGdeQXVyNjEwNTM2Mzc@._V1_SX300.jpg,1,United States,7.5,done,,true
Blackadder,1982–1983,Comedy,N/A,"Rowan Atkinson, Brian Blessed, Elspet Gray",8,tt0084988,195 min,https://m.media-amazon.com/images/M/MV5BMTVlMDJhOTItNGE3Mi00YTJjLWIyNWUtNTY3ZWVmYmQ2ODA5XkEyXkFqcGdeQXVyNjc5NjEzNA@@._V1_SX300.jpg,4,United Kingdom,-1,done,,false
Bodies,2023,"Crime, Drama, History",N/A,"Amaka Okafor, Kyle Soller, Shira Haas",7.3,tt18347622,N/A,https://m.media-amazon.com/images/M/MV5BMzdiYzRjZjctZDE0ZC00MGQ4LWEwYzAtZDEyNzJiYzI2YjM2XkEyXkFqcGdeQXVyMDc5ODIzMw@@._V1_SX300.jpg,1,United Kingdom,7.5,done,,true
Bordertown,2016–2020,"Crime, Drama, Mystery",N/A,"Ville Virtanen, Matleena Kuusniemi, Anu Sinisalo",7.6,tt4937942,2 min,https://m.media-amazon.com/images/M/MV5BNDNiZTcxYzMtOWRhOC00MmJiLTkyZTAtOTRlMWVmY2YyOGQyXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,3,"Finland, France",8,done,,false
Breaking Bad,2008–2013,"Crime, Drama, Thriller",N/A,"Bryan Cranston, Aaron Paul, Anna Gunn",9.5,tt0903747,49 min,https://m.media-amazon.com/images/M/MV5BYmQ4YWMxYjUtNjZmYi00MDQ1LWFjMjMtNjA5ZDdiYjdiODU5XkEyXkFqcGdeQXVyMTMzNDExODE5._V1_SX300.jpg,5,United States,9,done,,false
Chernobyl,2019,"Drama, History, Thriller",N/A,"Jessie Buckley, Jared Harris, Stellan Skarsgård",9.3,tt7366338,330 min,https://m.media-amazon.com/images/M/MV5BNTdkN2QwMDItMDVhNS00ZjFiLWEzNTctMzY5ODQzYWNkMDllXkEyXkFqcGdeQXVyMTMzNDExODE5._V1_SX300.jpg,1,"United States, United Kingdom",10,done,,false
Cien,2021–,Crime,N/A,"Krystian Wieczorek, Dagmara Bak, Krzysztof Kwiatkowski",N/A,tt15365012,N/A,https://m.media-amazon.com/images/M/MV5BMDYzOGMwM2UtMmUxZC00YmIyLWIwOWMtZGNiZWZlMDgxZmQ5XkEyXkFqcGdeQXVyMTEwMTY3NDI@._V1_SX300.jpg,1,Poland,-1,undecided,,false
Connect,2022,"Crime, Drama, Fantasy",N/A,"Jung Hae-in, Go Kyung-pyo, Kim Hye-jun",6.5,tt22002370,N/A,https://m.media-amazon.com/images/M/MV5BZjcyNzI0ZDAtMDNiMS00ZTlhLTgwOWMtMjhlNzg0NTRlZjhlXkEyXkFqcGdeQXVyOTA0NTM1MTg@._V1_SX300.jpg,1,South Korea,6,done,,true
Dark,2017–2020,"Crime, Drama, Mystery",N/A,"Louis Hofmann, Karoline Eichhorn, Lisa Vicari",8.7,tt5753856,60 min,https://m.media-amazon.com/images/M/MV5BOTk2NzUyOTctZDdlMS00MDJlLTgzNTEtNzQzYjFhNjA0YjBjXkEyXkFqcGdeQXVyMjg1NDcxNDE@._V1_SX300.jpg,3,"Germany, United States",8.5,done,,false
Darkness Those Who Kill,2019–,"Crime, Thriller",N/A,"Natalie Madueño, Simon Sears, Tobias Santelmann",7.5,tt9466596,45 min,https://m.media-amazon.com/images/M/MV5BYmNkMmIzZDctM2ZiYS00ODFiLWJiZTgtNDUyYWM5ZDQ4YTdlXkEyXkFqcGdeQXVyNjcyMjcwODE@._V1_SX300.jpg,3,Denmark,6.5,done,,false
Dear Child,2023,"Crime, Drama, Mystery",N/A,"Kim Riedle, Naila Schuberth, Sammy Schrein",7.3,tt20863760,N/A,https://m.media-amazon.com/images/M/MV5BYmY5MzE1MzktZTdlMC00Nzg5LWI1MDQtNWUwM2M1OTE1MDU4XkEyXkFqcGdeQXVyMTE5MTg5NDIw._V1_SX300.jpg,1,Germany,7,done,,true
